set_num,set_name,year,theme_id,num_parts,total_part_count,unique_part_count,minifig_count,spare_part_ratio,h_cat,h_col,n_distinct_colors,n_distinct_categories,prop_technic,prop_printed,prop_transparent,rare_part_ratio,minifig_to_part_ratio,has_minifigs,year_window,window_index
30341-1,Monkie Kid's Delivery Bike,2020,693,22,18.0,13.0,1.0,0.1,1.9559838465843624,2.2161022480912638,10.0,8.0,0.0,0.05555555555555555,0.1111111111111111,0.1111111111111111,0.05555555555555555,1.0,2020,37
30342-1,Lamborghini Huracán Super Trofeo EVO,2020,601,70,70.0,29.0,0.0,0.06666666666666667,2.0091537196421503,1.0989620672323555,8.0,12.0,0.0,0.014285714285714285,0.02857142857142857,0.014285714285714285,0.0,0.0,2020,37
30343-1,McLaren Elva,2021,601,86,86.0,32.0,0.0,0.0851063829787234,2.2498688738157355,1.3105378780455155,7.0,12.0,0.0,0.011627906976744186,0.0,0.011627906976744186,0.0,0.0,2021,38
30344-1,Mini Monkey King Warrior Mech,2021,693,65,65.0,26.0,0.0,0.09722222222222222,1.9468592549225485,1.7756799632742502,10.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,38
30346-1,Prison Island Helicopter,2016,61,46,41.0,28.0,1.0,0.10869565217391304,2.38355729280669,1.6411791079685765,7.0,14.0,0.0,0.0,0.0975609756097561,0.0,0.024390243902439025,1.0,2016,33
30347-1,Fire Car,2016,58,53,49.0,28.0,1.0,0.09259259259259259,2.4727300273826174,2.1232235331953944,12.0,16.0,0.0,0.02040816326530612,0.14285714285714285,0.02040816326530612,0.02040816326530612,1.0,2016,33
30348-1,Mini Dumper,2016,56,45,41.0,21.0,1.0,0.06818181818181818,2.1652535559327712,1.6942832845733644,8.0,11.0,0.0,0.0,0.04878048780487805,0.0,0.024390243902439025,1.0,2016,33
30349-1,Sports Car,2016,63,47,43.0,22.0,1.0,0.10416666666666667,1.9796143976007077,1.7969919348263872,9.0,11.0,0.0,0.0,0.13953488372093023,0.0,0.023255813953488372,1.0,2016,33
30350-1,Volcano Jackhammer,2016,52,53,46.0,31.0,1.0,0.0,2.643823968378982,1.8258560522811949,9.0,18.0,0.1956521739130435,0.0,0.08695652173913043,0.0,0.021739130434782608,1.0,2016,33
30351-1,Police Helicopter,2017,61,44,39.0,27.0,1.0,0.11363636363636363,2.278185493488378,1.9418770841305377,9.0,13.0,0.0,0.02564102564102564,0.15384615384615385,0.0,0.02564102564102564,1.0,2017,34
30352-1,Police Car,2017,61,50,46.0,24.0,1.0,0.09803921568627451,2.169410780574758,1.952960083464868,9.0,13.0,0.0,0.021739130434782608,0.17391304347826086,0.021739130434782608,0.021739130434782608,1.0,2017,34
30353-1,Tractor,2017,56,47,43.0,26.0,1.0,0.044444444444444446,2.2831752294037955,1.8660891791669703,8.0,13.0,0.0,0.023255813953488372,0.11627906976744186,0.0,0.023255813953488372,1.0,2017,34
30354-1,Hot Rod,2017,63,38,34.0,24.0,1.0,0.05555555555555555,2.0864656937754074,1.6305271787302753,7.0,10.0,0.0,0.0,0.08823529411764706,0.0,0.029411764705882353,1.0,2017,34
30355-1,Jungle ATV,2017,614,36,32.0,19.0,1.0,0.08571428571428572,1.8376791815136848,1.3983825361144147,6.0,8.0,0.0,0.0,0.03125,0.0,0.03125,1.0,2017,34
30356-1,Hot Dog Stand,2018,52,43,39.0,27.0,1.0,0.13333333333333333,2.560940434296997,2.1409928273668877,11.0,16.0,0.1794871794871795,0.02564102564102564,0.07692307692307693,0.0,0.02564102564102564,1.0,2018,35
30357-1,Road Worker,2018,56,58,54.0,28.0,1.0,0.0847457627118644,2.232138061927559,1.7997012519400293,9.0,12.0,0.018518518518518517,0.018518518518518517,0.2222222222222222,0.018518518518518517,0.018518518518518517,1.0,2018,35
30358-1,Dragster,2018,52,40,35.0,24.0,1.0,0.07894736842105263,2.1735207861814385,1.5700818165775337,6.0,11.0,0.05714285714285714,0.0,0.0,0.0,0.02857142857142857,1.0,2018,35
30359-1,Police Water Plane,2018,61,48,43.0,29.0,1.0,0.14,2.373645193329174,1.9095865139437116,8.0,14.0,0.11627906976744186,0.023255813953488372,0.11627906976744186,0.0,0.023255813953488372,1.0,2018,35
30360-1,Arctic Ice Saw,2018,65,43,39.0,29.0,1.0,0.0,2.328463927042051,2.0278760421726476,11.0,14.0,0.05128205128205128,0.02564102564102564,0.07692307692307693,0.02564102564102564,0.02564102564102564,1.0,2018,35
3036-1,Large Bucket,1999,505,71,71.0,12.0,0.0,0.0,0.0740225961475812,1.4387773608288434,5.0,2.0,0.0,0.056338028169014086,0.0,0.04225352112676056,0.0,0.0,1999,16
30361-1,Fire ATV,2019,58,39,35.0,20.0,1.0,0.05405405405405406,2.144078123547828,1.9565732751114984,10.0,11.0,0.0,0.0,0.14285714285714285,0.0,0.02857142857142857,1.0,2019,36
30362-1,Sky Police Jetpack,2019,61,33,23.0,16.0,2.0,0.14814814814814814,1.8330019230795882,2.0020587265061462,9.0,9.0,0.0,0.043478260869565216,0.043478260869565216,0.0,0.08695652173913043,1.0,2019,36
30363-1,Race Boat,2019,59,34,28.0,22.0,1.0,0.034482758620689655,2.2485570837030413,2.1470638625858367,10.0,11.0,0.0,0.03571428571428571,0.07142857142857142,0.0,0.03571428571428571,1.0,2019,36
30364-1,Popcorn Cart,2019,52,43,39.0,22.0,1.0,0.025,2.319056231135705,1.8929144558001676,8.0,12.0,0.10256410256410256,0.02564102564102564,0.15384615384615385,0.0,0.02564102564102564,1.0,2019,36
30365-1,Space Satellite,2019,679,36,28.0,17.0,1.0,0.125,1.8651801651310551,1.883296059717192,8.0,9.0,0.0,0.17857142857142858,0.03571428571428571,0.14285714285714285,0.03571428571428571,1.0,2019,36
30366-1,Police Car,2020,61,37,33.0,18.0,1.0,0.05714285714285714,2.052348275956152,1.864658786235549,8.0,10.0,0.0,0.0,0.12121212121212122,0.0,0.030303030303030304,1.0,2020,37
30367-1,Police Helicopter,2020,61,39,34.0,24.0,1.0,0.05555555555555555,2.2694913297071944,1.8897039514875327,8.0,13.0,0.11764705882352941,0.029411764705882353,0.058823529411764705,0.0,0.029411764705882353,1.0,2020,37
30368-1,Fire Rescue Water Scooter,2020,58,34,28.0,21.0,1.0,0.0967741935483871,2.2623001267630642,1.9611574564826664,9.0,12.0,0.0,0.03571428571428571,0.10714285714285714,0.07142857142857142,0.03571428571428571,1.0,2020,37
